Winter period  ,                ,            ,                  , , Summer period  ,                ,            , 
Time from      , Time to        , Heat Demand, Electricity Price, , Time from      , Time to        , Heat Demand, Electricity Price
DKK local time , DKK local time , MWh        , DKK / Mwh(el)    , , DKK local time , DKK local time , MWh        , DKK / Mwh(el)
3/1/2024 0:00  , 3/1/2024 1:00  , 6.62       , 1190.94          , , 8/11/2024 0:00 , 8/11/2024 1:00 , 1.79       , 752.03
3/1/2024 1:00  , 3/1/2024 2:00  , 6.85       , 1154.55          , , 8/11/2024 1:00 , 8/11/2024 2:00 , 1.85       , 691.05
3/1/2024 2:00  , 3/1/2024 3:00  , 6.98       , 1116.22          , , 8/11/2024 2:00 , 8/11/2024 3:00 , 1.76       , 674.78
3/1/2024 3:00  , 3/1/2024 4:00  , 7.04       , 1101.12          , , 8/11/2024 3:00 , 8/11/2024 4:00 , 1.67       , 652.95
3/1/2024 4:00  , 3/1/2024 5:00  , 7.72       , 1086.24          , , 8/11/2024 4:00 , 8/11/2024 5:00 , 1.73       , 666.30
3/1/2024 5:00  , 3/1/2024 6:00  , 7.85       , 1109.53          , , 8/11/2024 5:00 , 8/11/2024 6:00 , 1.79       , 654.60
3/1/2024 6:00  , 3/1/2024 7:00  , 8.15       , 1307.40          , , 8/11/2024 6:00 , 8/11/2024 7:00 , 1.82       , 637.05
3/1/2024 7:00  , 3/1/2024 8:00  , 7.62       , 1463.30          , , 8/11/2024 7:00 , 8/11/2024 8:00 , 1.81       , 639.45
3/1/2024 8:00  , 3/1/2024 9:00  , 7.55       , 1608.78          , , 8/11/2024 8:00 , 8/11/2024 9:00 , 1.84       , 628.28
